user_id,row_eff_dttm,row_expir_dttm,position_number,reports_to_position_number
1925,2012-09-10 08:15:28.227,9999-12-31 00:00:00.000,00105301,00093672
925,2005-01-01 00:00:00.000,2006-08-15 00:00:00.000,00036984,00034498
925,2006-08-15 00:00:00.000,2007-04-05 00:00:00.000,00076357,00036052
925,2007-04-05 00:00:00.000,2007-04-06 04:46:05.423,00076357,00022266
925,2007-07-02 00:00:00.000,2010-12-03 00:00:00.000,00076357,00082670
925,2010-12-03 00:00:00.000,2012-09-10 08:15:28.227,00105301,00093672
925,2012-11-10 08:15:27.247,2013-03-10 08:15:28.227,00105301,00093672
